run,block_size,n_blocks,algorithm,rre,iterations,seconds
0,10,1,F-norm MU,0.32276238752620817,300,7.732627500023227
0,10,1,L1-NMF,0.22306409382424108,300,13.687138799985405
0,10,1,"L2,1-NMF",0.32249434820631917,300,7.847941499989247
0,10,2,F-norm MU,0.43289679631251454,300,16.655821299995296
0,10,2,L1-NMF,0.33381880785667395,300,31.378814600000624
0,10,2,"L2,1-NMF",0.43183395520065965,300,29.765429599996423
0,10,3,F-norm MU,0.5072929539019965,300,30.486766799993347
0,10,3,L1-NMF,0.46177185769512724,300,31.38654239999596
0,10,3,"L2,1-NMF",0.5068574602142089,300,38.625259799999185
1,10,1,F-norm MU,0.32326881755915515,300,28.3795184000046
1,10,1,L1-NMF,0.22907557332881662,300,15.540326799993636
1,10,1,"L2,1-NMF",0.3226846795044275,300,10.403194000013173
1,10,2,F-norm MU,0.4376146476850389,300,7.500023600005079
1,10,2,L1-NMF,0.3344698137855082,300,19.876804400002584
1,10,2,"L2,1-NMF",0.43699796185424183,300,31.6839508000121
1,10,3,F-norm MU,0.5078744728159769,300,29.5472116000019
1,10,3,L1-NMF,0.45541679505806865,300,33.10947429999942
1,10,3,"L2,1-NMF",0.5079121480408395,300,33.338165900000604
2,10,1,F-norm MU,0.3284826287181855,300,34.6758017000102
2,10,1,L1-NMF,0.22666430171482146,300,39.82752389999223
2,10,1,"L2,1-NMF",0.327285200287401,300,37.54471139999805
2,10,2,F-norm MU,0.44112597216154137,300,36.691890799993416
2,10,2,L1-NMF,0.3471222674259322,300,30.478421600011643
2,10,2,"L2,1-NMF",0.44074622564443566,300,24.57904760001111
2,10,3,F-norm MU,0.51783567763333,300,23.02232030002051
2,10,3,L1-NMF,0.4699410498522417,300,24.632936299982248
2,10,3,"L2,1-NMF",0.5172233157170363,300,23.075871399982134
3,10,1,F-norm MU,0.3275253659597746,300,22.597460600023624
3,10,1,L1-NMF,0.2288421527019412,300,25.263208900025347
3,10,1,"L2,1-NMF",0.32723577188826586,300,22.86964699998498
3,10,2,F-norm MU,0.43120740078254177,300,23.648023200017633
3,10,2,L1-NMF,0.3437200316850631,300,23.5283814999857
3,10,2,"L2,1-NMF",0.43142953735995143,300,25.40888599999016
3,10,3,F-norm MU,0.5089783928508496,300,9.307682900020154
3,10,3,L1-NMF,0.450719934774153,300,8.405120000010356
3,10,3,"L2,1-NMF",0.5090767750435898,300,7.492740999994567
4,10,1,F-norm MU,0.32719657374557115,300,6.902742300007958
4,10,1,L1-NMF,0.22367640581192716,300,16.267444299999624
4,10,1,"L2,1-NMF",0.3271954015304087,300,15.90867609999259
4,10,2,F-norm MU,0.43227510290043064,300,20.48994820000371
4,10,2,L1-NMF,0.33828027059833626,300,24.40666120001697
4,10,2,"L2,1-NMF",0.4316776965432257,300,23.517672199988738
4,10,3,F-norm MU,0.5079631884230463,300,20.154142499988666
4,10,3,L1-NMF,0.4606064749793854,300,24.516000900010113
4,10,3,"L2,1-NMF",0.5065883895255415,300,24.71703559998423
