n_blocks,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0,F-norm MU,5,0.12898409309158684,0.00048255873420550375,0.76,0.014907119849998596,0.8567796473648436,0.0073836085853425945,1.7508798471998943
0,L1-NMF,5,0.18492849532977626,0.0011917900907749551,0.6411111111111111,0.02479857124518406,0.7933003383117214,0.012041888036246177,3.4855467939999927
0,Hypersurface,5,0.1387838594213956,0.0007246873067949232,0.7427777777777778,0.027259045389660234,0.8504346359430144,0.015634124236343985,3.7959029931999795
0,"L2,1-NMF",5,0.12954926793793203,0.0007114446650558649,0.7527777777777779,0.026205503144601718,0.8550188185499252,0.020022036274531023,3.3140658973999506
0,L1-Reg Robust,5,0.17112672149179542,0.0012220366605052518,0.6905555555555557,0.025654999753375148,0.8209918659139811,0.01569685309878767,4.226743266400081
1,F-norm MU,5,0.32768222329772423,0.003153483876563115,0.27055555555555555,0.02111841978749802,0.4945379419134775,0.01608563494498873,1.7694015799999305
1,L1-NMF,5,0.2328057357408017,0.0065294484300880105,0.49111111111111116,0.021907493503478183,0.6670286840804237,0.020608757367798044,3.5659480073998564
1,Hypersurface,5,0.31434727400203044,0.004306979334279043,0.31,0.022956615012660414,0.5179825917021229,0.012969628835444452,3.8479189245998895
1,"L2,1-NMF",5,0.32743787036540006,0.0032327417490829757,0.2733333333333333,0.02943658175941991,0.49586724530226167,0.02360059229401253,3.2717023997999606
1,L1-Reg Robust,5,0.2358056294090741,0.007669426387568859,0.48277777777777775,0.03145151078826258,0.6632703941649429,0.023022637572554714,4.182746456399991
2,F-norm MU,5,0.43313821857052276,0.004553697480785772,0.26111111111111107,0.018215107011950008,0.4823246090260877,0.010254666262477301,1.7763653471999532
2,L1-NMF,5,0.37682484746420714,0.0038217728146749865,0.2816666666666667,0.02270312971300283,0.5059261353180281,0.011468975706645401,3.4146588240000257
2,Hypersurface,5,0.4210478696538543,0.004195596664207711,0.26722222222222225,0.009296222517045288,0.4885252636558395,0.00901697753352686,4.114921186600123
2,"L2,1-NMF",5,0.43271685868583615,0.004463708437043416,0.24333333333333335,0.012203268131382667,0.47313989923826305,0.008759375775600601,3.235718015400198
2,L1-Reg Robust,5,0.3552390648275684,0.0037306173425315503,0.29888888888888887,0.029173279673591384,0.5194340133588622,0.01885350819240847,4.234804138399977
3,F-norm MU,5,0.509362491051348,0.005412277287015144,0.22777777777777777,0.019444444444444448,0.45745423614010566,0.0162707211365673,1.7687658413999088
3,L1-NMF,5,0.47548331983588127,0.007728003685484277,0.2477777777777778,0.013234588055079554,0.4784215842851314,0.006984707125254129,3.436297419399898
3,Hypersurface,5,0.499831181306853,0.006464357881218341,0.2438888888888889,0.01705564603667639,0.4701381062042163,0.006046899746505716,3.701378048800052
3,"L2,1-NMF",5,0.5089240001417276,0.005836892623385238,0.22999999999999998,0.01898261062585544,0.4568103375086273,0.014537607953304102,3.20865970320001
3,L1-Reg Robust,5,0.44715511823627285,0.006714482193548657,0.2544444444444444,0.031463774976986936,0.4811491478153818,0.021787885911308525,4.07635834259986
4,F-norm MU,5,0.5681911448820892,0.005740309414249822,0.21833333333333335,0.012819978621349246,0.441243019726213,0.008032637933340284,1.7322396913999456
4,L1-NMF,5,0.5447890019446401,0.007144544540546606,0.2261111111111111,0.01477715119807821,0.46200904676860083,0.009954862018628606,3.4024148328000137
4,Hypersurface,5,0.5613158911656286,0.0054037068802788085,0.23055555555555557,0.009820927516479833,0.4564556608032936,0.009536921857419304,3.7198747446000198
4,"L2,1-NMF",5,0.5678447731596296,0.005757272516727882,0.2227777777777778,0.012329078345095635,0.45490052936772474,0.007644223328031025,3.227376654799946
4,L1-Reg Robust,5,0.5141332711502983,0.007788472156814907,0.2361111111111111,0.016550521233073587,0.4661296894307627,0.014411028405682907,4.076706273800028
