run,block_size,algorithm,rre,iterations,seconds
0,5,F-norm MU,0.18193155393102767,300,6.437411999999313
0,5,L1-NMF,0.2020591159297919,300,15.50369139999384
0,5,"L2,1-NMF",0.18151358420940714,300,11.597167500003707
0,10,F-norm MU,0.31998048557977365,300,35.69917649999843
0,10,L1-NMF,0.22441909941271398,300,40.10071140000946
0,10,"L2,1-NMF",0.3199506979690175,300,36.396752499975264
0,15,F-norm MU,0.47339109392676354,300,35.351227000006475
0,15,L1-NMF,0.44894679173612345,300,38.92075779999141
0,15,"L2,1-NMF",0.473163652057146,300,35.08615839999402
1,5,F-norm MU,0.1863744828703255,300,31.445903899992118
1,5,L1-NMF,0.204206908942544,300,37.85146070001065
1,5,"L2,1-NMF",0.18563744253617803,300,28.496962000004714
1,10,F-norm MU,0.32430592407892267,300,22.62826560001122
1,10,L1-NMF,0.22478041158335338,300,26.42129239998758
1,10,"L2,1-NMF",0.3239265098966303,300,26.447855200007325
1,15,F-norm MU,0.47287937225220744,300,21.345474900008412
1,15,L1-NMF,0.44560915187187805,300,33.394552300014766
1,15,"L2,1-NMF",0.47327938394924746,300,39.92589359998237
2,5,F-norm MU,0.1877846441141795,300,37.4478519000113
2,5,L1-NMF,0.20231425577076267,300,40.0625607999973
2,5,"L2,1-NMF",0.1868507675335509,300,17.949822399998084
2,10,F-norm MU,0.3294360493451724,300,12.429193399992073
2,10,L1-NMF,0.22458944037499445,300,20.090709100011736
2,10,"L2,1-NMF",0.32955327573129467,300,9.282780200010166
2,15,F-norm MU,0.4847907732763222,300,7.685396999993827
2,15,L1-NMF,0.45967003549337077,300,10.862181100004818
2,15,"L2,1-NMF",0.48461408991831273,300,9.95607410001685
3,5,F-norm MU,0.18470025740960216,300,7.554997100000037
3,5,L1-NMF,0.20357282838230764,300,11.004845699993894
3,5,"L2,1-NMF",0.18421213240818637,300,10.250339000020176
3,10,F-norm MU,0.32373270255808234,300,7.620175899995957
3,10,L1-NMF,0.22717128553072594,300,37.849008699995466
3,10,"L2,1-NMF",0.3237906855311774,300,41.73649550002301
3,15,F-norm MU,0.47372418704359587,300,31.796436000004178
3,15,L1-NMF,0.4539785544945337,300,36.90942300000461
3,15,"L2,1-NMF",0.4734059314309341,300,37.84555729999556
4,5,F-norm MU,0.18199726433719424,300,35.644966699997894
4,5,L1-NMF,0.20208276922808255,300,40.55977870000061
4,5,"L2,1-NMF",0.18061078313875567,300,41.062544299988076
4,10,F-norm MU,0.3200274103071301,300,35.24677639998845
4,10,L1-NMF,0.22759095962281928,300,40.813546299992595
4,10,"L2,1-NMF",0.3199640145667049,300,40.24288459998206
4,15,F-norm MU,0.46905971949002406,300,36.983804599993164
4,15,L1-NMF,0.44581806865125423,300,46.60475769999903
4,15,"L2,1-NMF",0.4689881868783939,300,44.48613909998676
