fraction,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0.1,F-norm MU,5,0.22620902756787015,0.005518459948568464,0.6061111111111112,0.040985167446495635,0.7791137160795694,0.021322832817311885,1.7782438773999274
0.1,L1-NMF,5,0.2462461233333731,0.005316596882220975,0.5566666666666666,0.018901139818004425,0.7398700030378633,0.016104183236865813,3.419694789400046
0.1,Hypersurface,5,0.22576009906267597,0.005903696605635772,0.6238888888888889,0.03290230582185788,0.7857099016871889,0.01287008937982684,3.8066364378000346
0.1,"L2,1-NMF",5,0.2208531203523607,0.005375762281659544,0.6261111111111111,0.03176884101221287,0.7783267720230107,0.01861873399811288,3.237086681599931
0.1,L1-Reg Robust,5,0.2377109371233422,0.005728919563018749,0.5766666666666667,0.017302679447108258,0.7541347176259061,0.011551863567337626,4.0917487426000205
0.25,F-norm MU,5,0.3234562932273833,0.007794602943832274,0.4638888888888889,0.020879578303295714,0.6742061642759662,0.02008290635472158,1.7487455608001254
0.25,L1-NMF,5,0.32555161857590953,0.0073736076497885805,0.41611111111111115,0.015390994641327871,0.6520046255172962,0.01301818855089806,3.41594650140014
0.25,Hypersurface,5,0.3195119678744843,0.007532869338381346,0.47777777777777775,0.009820927516479838,0.6808666005219337,0.011322308714299732,3.77720393719992
0.25,"L2,1-NMF",5,0.31878311241154433,0.0072284212815648665,0.4572222222222223,0.02084259053589341,0.6714807531304403,0.01513525923889701,3.214714288199912
0.25,L1-Reg Robust,5,0.31957027182425646,0.0067431431707068055,0.4738888888888889,0.01817269692644014,0.6826142705422704,0.011237171062905607,4.0636542688000645
0.5,F-norm MU,5,0.44175540778172556,0.0037850427850004116,0.32166666666666666,0.02073123128560589,0.5567204712838412,0.010133999532310044,1.7579727757999535
0.5,L1-NMF,5,0.43288624786527335,0.002460034956726024,0.29944444444444446,0.020637972912229678,0.55445118428115,0.014539814856353047,3.494405467999923
0.5,Hypersurface,5,0.4369168574829222,0.003677203143993229,0.32611111111111113,0.027045914321417976,0.5666462025131368,0.013510203522841574,4.122723784600157
0.5,"L2,1-NMF",5,0.43861855882762085,0.004203858612473705,0.3333333333333333,0.018839805508681303,0.568510553244483,0.014412051884604586,3.2427630867999597
0.5,L1-Reg Robust,5,0.42553045968704345,0.002357299558669904,0.3261111111111111,0.014109361221333655,0.5677592600615021,0.0114722259751615,4.149581367000019
0.75,F-norm MU,5,0.5325988180636381,0.005394097867787146,0.23444444444444446,0.021026878741972854,0.4652606474199539,0.015572684562261766,1.7625660742000946
0.75,L1-NMF,5,0.5169347118350064,0.006129699868495345,0.2461111111111111,0.005760122598146583,0.4823409986290418,0.0051331246355591715,3.8433047703999366
0.75,Hypersurface,5,0.5275184636541812,0.004654365664786919,0.24888888888888888,0.02093493742379642,0.4837548387380881,0.014094560635364607,3.729424790599887
0.75,"L2,1-NMF",5,0.5310921213358063,0.005339140138051887,0.23833333333333334,0.017829785039868012,0.4738156164061011,0.011553127503287656,3.225411050399998
0.75,L1-Reg Robust,5,0.5077988700169751,0.004676473017972115,0.24444444444444446,0.017677669529663684,0.48295950366879303,0.012204167156431968,4.2240429012000735
1.0,F-norm MU,5,0.6075500417187878,0.006049696831068529,0.1938888888888889,0.006334307917217441,0.4373192700361247,0.004135087726171632,1.7777865623999787
1.0,L1-NMF,5,0.5904950052524216,0.007196035724815865,0.21833333333333335,0.011041448285751,0.4589985928950666,0.010960867969591882,3.4684330688000045
1.0,Hypersurface,5,0.6030133339118737,0.006575791118210759,0.21222222222222217,0.00724355822800294,0.4497383259892874,0.006300170908198718,4.245766303799928
1.0,"L2,1-NMF",5,0.6073826907846982,0.0060770212207121345,0.20388888888888887,0.0105042613339939,0.4442182359910327,0.007103847740519514,3.2271512272001472
1.0,L1-Reg Robust,5,0.5774538506324914,0.0068823297486068965,0.23722222222222222,0.016029486718059458,0.46608519114316527,0.008391176154735369,4.061398112000006
