algorithm,iteration,cost
F-norm MU,5,14793.156593934636
F-norm MU,10,14534.895025341271
F-norm MU,15,14077.30516519565
F-norm MU,20,13183.766451316185
F-norm MU,25,11731.06026983997
F-norm MU,30,10084.669731359956
F-norm MU,35,8699.774899681444
F-norm MU,40,7658.49935721313
F-norm MU,45,6894.615250405654
F-norm MU,50,6327.005391722385
F-norm MU,55,5894.9106447584445
F-norm MU,60,5558.089721282146
F-norm MU,65,5289.035954086114
F-norm MU,70,5069.340649145168
F-norm MU,75,4886.52221772359
F-norm MU,80,4731.942681804245
F-norm MU,85,4599.550978937727
F-norm MU,90,4484.9745525755225
F-norm MU,95,4384.966194332954
F-norm MU,100,4297.071678552504
F-norm MU,105,4219.404296628433
F-norm MU,110,4150.457610785809
F-norm MU,115,4088.9733847975117
F-norm MU,120,4033.8937668946305
F-norm MU,125,3984.335270887883
F-norm MU,130,3939.551478745488
F-norm MU,135,3898.905269305747
F-norm MU,140,3861.8536070390173
F-norm MU,145,3827.935963317531
F-norm MU,150,3796.763420188145
F-norm MU,155,3768.00852810507
F-norm MU,160,3741.395887500872
F-norm MU,165,3716.693421452448
F-norm MU,170,3693.704454149579
F-norm MU,175,3672.260793523258
F-norm MU,180,3652.2170078634435
F-norm MU,185,3633.44595448753
F-norm MU,190,3615.835447988295
F-norm MU,195,3599.285850284933
F-norm MU,200,3583.7083237031425
F-norm MU,205,3569.0234921558076
F-norm MU,210,3555.1603161115586
F-norm MU,215,3542.055076645529
F-norm MU,220,3529.6504285075516
F-norm MU,225,3517.8945132574117
F-norm MU,230,3506.7401450978123
F-norm MU,235,3496.144104240615
F-norm MU,240,3486.0665890638234
F-norm MU,245,3476.470875053298
F-norm MU,250,3467.323181710267
F-norm MU,255,3458.5926501128774
F-norm MU,260,3450.2512463284993
F-norm MU,265,3442.2734456081475
F-norm MU,270,3434.6357395310347
F-norm MU,275,3427.316173067432
F-norm MU,280,3420.2940880664596
F-norm MU,285,3413.5500849272476
F-norm MU,290,3407.066103188758
F-norm MU,295,3400.825527862504
F-norm MU,300,3394.813280294824
F-norm MU,305,3389.015878934903
F-norm MU,310,3383.42144389635
F-norm MU,315,3378.0196021431743
F-norm MU,320,3372.8012699912397
F-norm MU,325,3367.758348561383
F-norm MU,330,3362.883410871311
F-norm MU,335,3358.169441330301
F-norm MU,340,3353.6096419625073
F-norm MU,345,3349.1973043749194
F-norm MU,350,3344.925759756053
F-norm MU,355,3340.788416126481
F-norm MU,360,3336.77886252806
F-norm MU,365,3332.89099427757
