algorithm,rre,run,seconds,value
L1-NMF,0.29067319985880896,0,3.1799219749996155,1e-05
L1-NMF,0.24052437331815144,0,3.017957297999601,0.0001
L1-NMF,0.22636436692980755,0,3.055573878999894,0.001
L1-NMF,0.30976072952822253,0,7.080516544000147,0.01
L1-NMF,0.32432277772242224,0,3.564683160000186,0.1
L1-NMF,0.28814710915453207,1,3.7019918679998227,1e-05
L1-NMF,0.23837208841655522,1,3.416619504999744,0.0001
L1-NMF,0.23599941655900186,1,3.309630250000282,0.001
L1-NMF,0.303695444876447,1,3.511540944999979,0.01
L1-NMF,0.31875739765089584,1,3.3238922259997707,0.1
L1-NMF,0.28918135753152036,2,3.4280819659998087,1e-05
L1-NMF,0.2380886125696317,2,3.3644116089999443,0.0001
L1-NMF,0.23077988256430013,2,3.090111270000307,0.001
L1-NMF,0.3062207917516931,2,3.2668621770003483,0.01
L1-NMF,0.3219887768045812,2,3.1882829199998923,0.1
