algorithm,rre,run,seconds,value
F-norm MU,0.32461054762942837,0,3.6147937440000533,10
L1-NMF,0.23217726135402506,0,8.916837810999823,10
Hypersurface,0.2747758383951618,0,31.652851068000018,10
"L2,1-NMF",0.32569907229446904,0,10.976022998999724,10
L1-Reg Robust,0.23185894817749678,0,14.042964974999904,10
F-norm MU,0.33300118354878516,0,5.882200024999747,20
L1-NMF,0.22603164066392326,0,12.07431543299981,20
Hypersurface,0.31959540317543395,0,22.686090995000086,20
"L2,1-NMF",0.33145343367255325,0,33.98812871100017,20
L1-Reg Robust,0.2247701978439158,0,27.40852371500023,20
F-norm MU,0.33195245611646806,0,28.23214146600003,40
L1-NMF,0.22636436692980755,0,39.15525517700007,40
Hypersurface,0.31695649660433894,0,40.42471542300018,40
"L2,1-NMF",0.33125487578066404,0,38.319759241000156,40
L1-Reg Robust,0.2307588943382902,0,43.38870160100032,40
F-norm MU,0.33159257083155724,0,30.991320837999865,60
L1-NMF,0.23296568348332317,0,32.173659944000065,60
Hypersurface,0.31743046243502704,0,17.108942202000435,60
"L2,1-NMF",0.33116464357495745,0,32.36756997299972,60
L1-Reg Robust,0.23832087508097358,0,25.60370793200036,60
F-norm MU,0.33232052614601437,0,10.02654614400035,80
L1-NMF,0.23334896746010558,0,16.857818769999994,80
Hypersurface,0.32083316242810817,0,33.76781558399989,80
"L2,1-NMF",0.3321413001131916,0,36.91122649199997,80
L1-Reg Robust,0.24901450425244853,0,49.852480344000014,80
F-norm MU,0.31931747055084236,1,32.79619721800009,10
L1-NMF,0.23100573112082243,1,13.967831491000197,10
Hypersurface,0.2693450108799043,1,18.543272124000396,10
"L2,1-NMF",0.3194480807970398,1,13.218391630000042,10
L1-Reg Robust,0.23112428160313114,1,23.315972269000213,10
F-norm MU,0.3286994087299585,1,39.56376406399977,20
L1-NMF,0.23084718855840597,1,39.77550669300035,20
Hypersurface,0.30947478299885767,1,22.288411953999912,20
"L2,1-NMF",0.32768076017854175,1,10.518483172000288,20
L1-Reg Robust,0.23074829849399972,1,17.037191654000253,20
F-norm MU,0.32734731537509304,1,8.941624801999751,40
L1-NMF,0.23599941655900186,1,34.354178014000354,40
Hypersurface,0.3134611099013887,1,37.87729194400026,40
"L2,1-NMF",0.3271573965910986,1,38.43174178800018,40
L1-Reg Robust,0.23876802825778165,1,44.48831513799996,40
F-norm MU,0.32756508114376165,1,29.41826963800031,60
L1-NMF,0.22569876897586136,1,18.788214252000216,60
Hypersurface,0.3151361994292112,1,23.047881572999813,60
"L2,1-NMF",0.3271081199103988,1,14.702325197999926,60
L1-Reg Robust,0.23645356168910034,1,24.564641221999864,60
F-norm MU,0.3272812510190995,1,38.43554578000021,80
L1-NMF,0.2312089862671659,1,38.986682112999915,80
Hypersurface,0.31590046591222054,1,42.58859173399969,80
"L2,1-NMF",0.3272349304540584,1,19.382800353999755,80
L1-Reg Robust,0.24720676378317027,1,23.895840158999818,80
F-norm MU,0.32097011950528065,2,27.340570708000087,10
L1-NMF,0.23119649672069445,2,33.67421300900014,10
Hypersurface,0.27537193501175,2,31.800576970999828,10
"L2,1-NMF",0.320046982693455,2,28.178166257999692,10
L1-Reg Robust,0.23110327849422588,2,23.94764788500015,10
F-norm MU,0.33013182751989983,2,38.44780232500034,20
L1-NMF,0.23367629020935254,2,33.79354632099967,20
Hypersurface,0.3149746642568665,2,18.029222354000012,20
"L2,1-NMF",0.3304999266162216,2,12.581044698000369,20
L1-Reg Robust,0.23270259421811548,2,19.223976754999967,20
F-norm MU,0.32872495355603243,2,23.632016673999715,40
L1-NMF,0.23077988256430013,2,40.13392873399971,40
Hypersurface,0.3147512090995088,2,36.46057590300006,40
"L2,1-NMF",0.32913817068449047,2,13.756313011999737,40
L1-Reg Robust,0.23417594048567578,2,31.955309830999795,40
F-norm MU,0.32885041577621943,2,19.968625163999604,60
L1-NMF,0.23060331449538068,2,33.58664728900021,60
Hypersurface,0.3166910439874343,2,20.954237457999625,60
"L2,1-NMF",0.32889626086896523,2,23.835418457999367,60
L1-Reg Robust,0.238833999573424,2,37.04778789200009,60
F-norm MU,0.329219248279532,2,26.78186941000058,80
L1-NMF,0.22491168491105315,2,39.783083268000155,80
Hypersurface,0.31754647677387404,2,33.502394334999735,80
"L2,1-NMF",0.32881169411963546,2,15.654941796000458,80
L1-Reg Robust,0.2449429954269217,2,22.937251761999505,80
