algorithm,rre,run,seconds,value
Hypersurface,0.294615163081457,0,18.482759860999977,0.01
Hypersurface,0.31022316010590856,0,18.603080878000128,0.02
Hypersurface,0.31695649660433894,0,41.30087848800008,0.05
Hypersurface,0.32271743077234616,0,40.6448461760001,0.1
Hypersurface,0.3303428312646888,0,28.60673546099997,0.5
Hypersurface,0.3313562895788755,0,14.210555316999944,1.0
Hypersurface,0.2830482913755042,1,16.481051018000016,0.01
Hypersurface,0.30397397472650184,1,14.834172961999911,0.02
Hypersurface,0.3134611099013887,1,15.475701016999892,0.05
Hypersurface,0.31740634905974713,1,13.738319918999878,0.1
Hypersurface,0.32572107844136483,1,15.664214598999934,0.5
Hypersurface,0.3269121603945944,1,31.485725107999997,1.0
Hypersurface,0.2888156367572353,2,41.48166461899996,0.01
Hypersurface,0.3062025295371112,2,41.66513143500015,0.02
Hypersurface,0.3147512090995088,2,35.50233013600018,0.05
Hypersurface,0.32062122145068306,2,16.548467508999693,0.1
Hypersurface,0.327387998865703,2,13.942308477000097,0.5
Hypersurface,0.32860522745875675,2,17.033446885000103,1.0
