run,block_size,n_blocks,algorithm,rre,iterations,seconds
0,10,1,F-norm MU,0.4494422627837227,300,54.5143011000182
0,10,1,L1-NMF,0.2634022237271252,300,71.58714980000514
0,10,1,"L2,1-NMF",0.44815762868041437,300,92.20724380001775
0,10,2,F-norm MU,0.601886461491846,300,21.762669200019445
0,10,2,L1-NMF,0.2710441708510544,300,68.51992869999958
0,10,2,"L2,1-NMF",0.600660290116309,300,84.96296569998958
0,10,3,F-norm MU,0.716176912681827,300,66.7547937000054
0,10,3,L1-NMF,0.3136663164728595,300,89.77183620000142
0,10,3,"L2,1-NMF",0.7149917451075304,300,82.41036099998746
1,10,1,F-norm MU,0.44800722477715643,300,67.81603320001159
1,10,1,L1-NMF,0.26042813636791046,300,107.2256153000053
1,10,1,"L2,1-NMF",0.44780708681920295,300,107.81131369998911
1,10,2,F-norm MU,0.5991276977639896,300,41.60944439997547
1,10,2,L1-NMF,0.2694690055297846,300,83.55127080000238
1,10,2,"L2,1-NMF",0.5971250703582188,300,89.00991640001303
1,10,3,F-norm MU,0.7111290327816914,300,51.37110210000537
1,10,3,L1-NMF,0.3041948656091519,300,72.94876659999136
1,10,3,"L2,1-NMF",0.7088738575150989,300,68.3309658000071
2,10,1,F-norm MU,0.4487093115913519,300,29.346671600011177
2,10,1,L1-NMF,0.2577055977981908,300,98.31896780000534
2,10,1,"L2,1-NMF",0.4488899127672956,300,107.05422400002135
2,10,2,F-norm MU,0.6007734526721694,300,50.81529900000896
2,10,2,L1-NMF,0.26765641910996013,300,77.65476559998933
2,10,2,"L2,1-NMF",0.599350322229643,300,65.97062179999193
2,10,3,F-norm MU,0.7149128436455762,300,43.23790310000186
2,10,3,L1-NMF,0.30455618752490404,300,75.19284569998854
2,10,3,"L2,1-NMF",0.7137958400567993,300,65.8450011999812
3,10,1,F-norm MU,0.449581782253405,300,65.12095090001822
3,10,1,L1-NMF,0.2570256197193994,300,102.45678169999155
3,10,1,"L2,1-NMF",0.44609990887064876,300,103.46431120001944
3,10,2,F-norm MU,0.5950773339080654,300,43.070737799978815
3,10,2,L1-NMF,0.2694033879200683,300,67.73076690000016
3,10,2,"L2,1-NMF",0.5939033595427826,300,62.66202540000086
3,10,3,F-norm MU,0.7097983863841618,300,45.055182100011734
3,10,3,L1-NMF,0.3308511260405257,300,70.96555750002153
3,10,3,"L2,1-NMF",0.7080229334085362,300,54.47735040000407
4,10,1,F-norm MU,0.4468678307163655,300,89.44035019999137
4,10,1,L1-NMF,0.26028182544577216,300,115.48770360002527
4,10,1,"L2,1-NMF",0.4466952305357688,300,99.1133994999982
4,10,2,F-norm MU,0.6017087358139517,300,36.05376599999727
4,10,2,L1-NMF,0.26910246653513425,300,57.56233220000286
4,10,2,"L2,1-NMF",0.5999238852746622,300,68.08286690001842
4,10,3,F-norm MU,0.7172519849576761,300,44.133256200002506
4,10,3,L1-NMF,0.31219628591167575,300,78.76639140001498
4,10,3,"L2,1-NMF",0.7151384243680899,300,90.14079149998724
