block_size,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0,F-norm MU,5,0.19168507045271757,0.0008732751769991782,0.2358950759318914,0.010344629072990011,0.35565851304094165,0.011441072642192103,5.3051768167933915
0,L1-NMF,5,0.26681617560565535,0.0026486034641982417,0.09746893695352048,0.0041976085599600135,0.1364267629391872,0.004913475973206604,11.971754925194546
0,Hypersurface,5,0.21281994066446827,0.0010692166029383024,0.20773124712379198,0.009389521897842305,0.2997276585628319,0.014495541609876013,13.828637025001807
0,"L2,1-NMF",5,0.19320394810793165,0.0005166625890162932,0.24040497008743672,0.0062219765416127275,0.35451457862980384,0.009791994026951127,10.778162900399185
0,L1-Reg Robust,5,0.2935492236988724,0.0016397169468032496,0.08531983433041876,0.001646437535204631,0.11151019679959799,0.002868856476991482,14.380986108400975
5,F-norm MU,5,0.2269595033914443,0.002423229743215778,0.18978370915784631,0.01094157310537374,0.28963557980343524,0.015288866297636736,5.779943632998038
5,L1-NMF,5,0.26696952424332676,0.00256750579177204,0.097100782328578,0.005337051773926923,0.13409544426002,0.005207554844617891,12.31353294160217
5,Hypersurface,5,0.21337373058366285,0.0008925646658754484,0.20285319834330418,0.009494937246598837,0.29798191514687183,0.010588321739518037,13.787807208200684
5,"L2,1-NMF",5,0.22649415820985114,0.001959011764799388,0.1965945697192821,0.021465439231224848,0.2986472532946341,0.01448265757631749,10.281664633197943
5,L1-Reg Robust,5,0.29493845847827466,0.0017060611196522682,0.08568798895536126,0.0011911807736350443,0.1096591531093982,0.0045700261475870325,14.338587983397883
10,F-norm MU,5,0.45018076782565675,0.001901900532777299,0.10786930510814544,0.010329263471985217,0.16369624948920486,0.014869821007079818,5.415609816199867
10,L1-NMF,5,0.26821653846961013,0.0026136405725350276,0.09976990335941095,0.002093752998817731,0.1394189914055332,0.008164645371233443,11.985021808397141
10,Hypersurface,5,0.2731794693874836,0.009584244750315208,0.16640589047399906,0.010854124622274466,0.24417614107646912,0.017252233156062658,13.275672133400803
10,"L2,1-NMF",5,0.44779414882938917,0.0018802718294444359,0.11606074551311552,0.005788199791451494,0.176235728939159,0.007680521451366292,10.88616101659718
10,L1-Reg Robust,5,0.29996335146494146,0.0019433354128060884,0.08826507132995857,0.004346330033361283,0.11449019340127382,0.004892564089148545,14.569185925001511
15,F-norm MU,5,0.6674937291314753,0.0023054904778822276,0.08992176714219972,0.004952158693903213,0.12082779759440439,0.007645397323974378,5.104742291598813
15,L1-NMF,5,0.38560344452888023,0.037703256485872076,0.09240681086056143,0.0030421525781939083,0.1253397683793672,0.004561658617593024,11.717897858400828
15,Hypersurface,5,0.6319999767321571,0.002899349056997052,0.0947077772664519,0.003701624952082871,0.12303047727257961,0.007883069437463475,13.01959615839878
15,"L2,1-NMF",5,0.666545967267745,0.0012544827321690655,0.09259088817303267,0.0029717228331270964,0.12297591917866346,0.010785323179307844,10.1763088918
15,L1-Reg Robust,5,0.3226595341471505,0.001845256063694758,0.09470777726645191,0.004982004087519322,0.126142505134407,0.004911305442632476,13.853683391594677
20,F-norm MU,5,0.8961666308439042,0.0038804891349978428,0.0820984813621721,0.003062965723385869,0.10320186982527324,0.0033349468452133144,4.708360166402417
20,L1-NMF,5,0.8369613926480612,0.004341642019666123,0.08375517717441325,0.002478216662280028,0.10838296803520242,0.001281392179884484,11.138057624999783
20,Hypersurface,5,0.8755991446624701,0.0021207110770864496,0.08338702254947077,0.0039506996836327244,0.10487803598551418,0.004964110480784259,12.683915616801823
20,"L2,1-NMF",5,0.8954867543345486,0.0038696665191141053,0.08458352508053382,0.0058246727408363536,0.10532872079735016,0.006000796719238086,10.00362560020003
20,L1-Reg Robust,5,0.5396366696161341,0.009125206126523108,0.08909341923607915,0.0030629657233858655,0.11824722474851142,0.0030365262068631155,13.2296483920014
