fraction,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0.1,F-norm MU,5,0.3325557305339732,0.0019858125235148517,0.16281638288080996,0.014393092050694223,0.2602167538595855,0.020564092954531453,4.349996016800287
0.1,L1-NMF,5,0.2809517009182068,0.0017096208057216953,0.09719282098481362,0.0043463300333612875,0.13302182800135273,0.0064616074368841715,10.955265583403525
0.1,Hypersurface,5,0.3079922893627747,0.0033676029353821644,0.15968706856879888,0.004267656923836032,0.25037306099347106,0.011269740811922188,12.491959133397904
0.1,"L2,1-NMF",5,0.3220543950403969,0.001596160843057163,0.18085595950299127,0.011097243950103537,0.28255815447210014,0.013464290658476142,9.817820724798366
0.1,L1-Reg Robust,5,0.3006847184015843,0.001834522090601835,0.08578002761159687,0.0018579502290093277,0.11252108621397379,0.0038543501173970516,13.472365508598159
0.25,F-norm MU,5,0.47448149353063407,0.0038664202954263216,0.12977450529222273,0.00350472761429541,0.19884798345970336,0.009088480577105958,4.46175652499951
0.25,L1-NMF,5,0.3279158706399638,0.012071531540045189,0.09544408651633685,0.004504255610949712,0.1304347199750822,0.005396473947807453,10.59027177519456
0.25,Hypersurface,5,0.4530847620399955,0.005787605669652407,0.1238840312931431,0.011748005310784468,0.19425053093876637,0.01338983541315248,11.98612953319971
0.25,"L2,1-NMF",5,0.46584753714919075,0.0032124142266487053,0.1368614818223654,0.005537637903908445,0.21778951138373182,0.006705986284482957,9.210538708398236
0.25,L1-Reg Robust,5,0.31372102549849534,0.0024475210212553376,0.0888173032673723,0.0046704517096604805,0.11779560799453359,0.00633858866081839,13.042200924601639
0.5,F-norm MU,5,0.6414846511296579,0.0029537334024188505,0.10823745973308789,0.00576069353825535,0.15698675533489187,0.01032571058346652,4.223228591596126
0.5,L1-NMF,5,0.49554224793752877,0.020927605511002825,0.08458352508053382,0.00257049977796023,0.11182634245177762,0.004740278866970417,10.559946916592889
0.5,Hypersurface,5,0.6154863784189739,0.0014555225719269148,0.10510814542107685,0.008520413666660372,0.14714437045187156,0.010518092701807634,11.82739994180156
0.5,"L2,1-NMF",5,0.6348412406806017,0.002723990186364966,0.10612057063966866,0.005089246682355913,0.15712721684745445,0.00971412619995821,9.697214558397537
0.5,L1-Reg Robust,5,0.33882835890798946,0.002386044919334976,0.09102623101702714,0.004056493487535942,0.12432280452912772,0.005354811401763739,13.60351710820396
0.75,F-norm MU,5,0.7764877507984107,0.004878507709863121,0.09535204786010124,0.003814333324455055,0.1284956434105386,0.007531406831173945,4.466700674805907
0.75,L1-NMF,5,0.6816739055593689,0.007715340353013447,0.0868844914864243,0.002216584367932314,0.11208954144208502,0.004801113510059039,10.49875464179786
0.75,Hypersurface,5,0.748245354221466,0.004191876665110043,0.09167050161067648,0.005779045587096403,0.12465310882548124,0.01237726508991582,12.233620658001746
0.75,"L2,1-NMF",5,0.7729926422361751,0.004356486520963694,0.09783709157846296,0.0015808158340835429,0.134633826232542,0.0037804001041821665,10.09838805819454
0.75,L1-Reg Robust,5,0.37264873590192427,0.002978008581858537,0.0941555453290382,0.0016464375352046293,0.12698141754330036,0.00217112994640707,13.721477475200663
1.0,F-norm MU,5,0.893981671736776,0.001906803772533556,0.08964565117349285,0.005419740642590811,0.11519493158405185,0.008770087711124967,4.802784341794904
1.0,L1-NMF,5,0.8136174662086514,0.01031246022429726,0.08430740911182696,0.0016399935279526412,0.10994721855941028,0.0020862426488580917,12.262653741799294
1.0,Hypersurface,5,0.8663753879626579,0.0024499934216956525,0.08863322595490106,0.0029930257784646285,0.11449917440870505,0.003240486855002206,14.304201283399015
1.0,"L2,1-NMF",5,0.8929078583393781,0.0015506737768297635,0.08808099401748734,0.0043730470384554425,0.11528645799248886,0.007543815524467343,10.81314677480259
1.0,L1-Reg Robust,5,0.43999530905979195,0.0017743380559399628,0.09452369995398067,0.0016782864729692122,0.13069858328256437,0.004503369412579333,14.002601774997311
