algorithm,iteration,cost
F-norm MU,5,268890.13302439556
F-norm MU,10,221035.29985865232
F-norm MU,15,178653.19853573097
F-norm MU,20,165504.80008853704
F-norm MU,25,148905.35241821024
F-norm MU,30,129619.62725938215
F-norm MU,35,112242.50931952671
F-norm MU,40,99245.56485399803
F-norm MU,45,90541.39005809405
F-norm MU,50,84518.15614948806
F-norm MU,55,80166.12179757853
F-norm MU,60,76867.39360410372
F-norm MU,65,74275.38711866416
F-norm MU,70,72200.28155749661
F-norm MU,75,70530.77401157687
F-norm MU,80,69173.99505411665
F-norm MU,85,68061.85474354106
F-norm MU,90,67132.78524404854
F-norm MU,95,66344.90415911814
F-norm MU,100,65666.62724349723
F-norm MU,105,65079.394923881824
F-norm MU,110,64562.8068899048
F-norm MU,115,64102.50323062694
F-norm MU,120,63687.86554432496
F-norm MU,125,63312.13806136864
F-norm MU,130,62969.40397956059
F-norm MU,135,62656.12910351688
F-norm MU,140,62370.87376540656
F-norm MU,145,62109.77946955894
F-norm MU,150,61868.96186296854
F-norm MU,155,61646.808898655305
F-norm MU,160,61443.79381502658
F-norm MU,165,61259.15414433427
F-norm MU,170,61090.930187348466
F-norm MU,175,60936.355475351105
F-norm MU,180,60792.95902341909
F-norm MU,185,60660.055360112114
F-norm MU,190,60536.94335268987
F-norm MU,195,60422.0074899588
F-norm MU,200,60315.036687533466
F-norm MU,205,60216.40281008242
F-norm MU,210,60124.14330117546
F-norm MU,215,60037.56496035163
F-norm MU,220,59957.25162766206
F-norm MU,225,59881.4749703901
F-norm MU,230,59809.37378349647
F-norm MU,235,59741.37607535558
F-norm MU,240,59677.923065097784
F-norm MU,245,59618.583469497295
F-norm MU,250,59562.901627639076
L1-NMF,5,763559.3236810995
L1-NMF,10,739629.1773092025
L1-NMF,15,735349.0507553536
L1-NMF,20,732343.088707063
L1-NMF,25,726287.97515259
L1-NMF,30,711129.9269511251
L1-NMF,35,675207.650094564
L1-NMF,40,621849.8887271412
L1-NMF,45,574659.4191130116
L1-NMF,50,542809.0545640893
L1-NMF,55,522707.2266119762
L1-NMF,60,509710.3410272365
L1-NMF,65,500846.5504335943
L1-NMF,70,494353.06159354775
L1-NMF,75,489212.39576892724
L1-NMF,80,484847.8218746987
L1-NMF,85,480871.8417644108
L1-NMF,90,477031.9399324026
L1-NMF,95,473169.0523270798
L1-NMF,100,469212.58634494257
L1-NMF,105,465161.28212807246
L1-NMF,110,461042.74045193003
L1-NMF,115,456926.471643049
L1-NMF,120,452885.56133340544
L1-NMF,125,449021.0455635768
L1-NMF,130,445400.52876452723
L1-NMF,135,442069.9973560881
L1-NMF,140,439032.3648850558
L1-NMF,145,436276.64280901477
L1-NMF,150,433774.1563569051
L1-NMF,155,431502.28365970426
L1-NMF,160,429422.32836019504
L1-NMF,165,427496.70427137706
L1-NMF,170,425699.0808885556
L1-NMF,175,424001.4135532076
L1-NMF,180,422386.07014032075
L1-NMF,185,420836.4235583187
L1-NMF,190,419341.06064759253
L1-NMF,195,417887.6130144968
L1-NMF,200,416470.72959540633
L1-NMF,205,415080.6238526748
L1-NMF,210,413712.61765277875
L1-NMF,215,412364.8274922661
L1-NMF,220,411037.62211596966
L1-NMF,225,409731.2199010364
L1-NMF,230,408444.426237894
L1-NMF,235,407176.064861497
L1-NMF,240,405924.1414069616
L1-NMF,245,404691.64507739875
L1-NMF,250,403478.28217301535
Hypersurface,5,594053.3682977922
Hypersurface,10,588396.5688943058
Hypersurface,15,556078.3256922341
Hypersurface,20,452312.32437303755
Hypersurface,25,396564.83137933357
Hypersurface,30,377130.74281947437
