run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
0,0,0,0.0,0,0.0,F-norm MU,38,0.19289321122032901,0.2222733548090198,0.2116889093419236,0.3395487535460119,250,0,21824.86276135501,5.418435707993922
0,0,0,0.0,0,0.0,L1-NMF,38,0.2704580538924218,0.09572020248504372,0.08973768982972849,0.13148833828084938,250,0,260320.33972886263,14.059799208989716
0,0,0,0.0,0,0.0,Hypersurface,38,0.2143155779451515,0.20662678324896455,0.20018407731247123,0.29664741217504426,250,0,115031.73169317661,16.18791962499381
0,0,0,0.0,0,0.0,"L2,1-NMF",38,0.1939167730954628,0.24620340543028071,0.23791992636907502,0.3569182468211366,250,0,6658.1808850944235,10.875254166996456
0,0,0,0.0,0,0.0,L1-Reg Robust,38,0.2932299108234821,0.08467556373676945,0.0796134376438104,0.10673733360787514,250,0,5354.912086441602,13.636217582999961
0,5,1,1.0,2173,0.012365,F-norm MU,38,0.23091703922426732,0.1785549930971008,0.1688909341923608,0.2662780799262674,250,0,45892.13703380527,5.148328458002652
0,5,1,1.0,2173,0.012365,L1-NMF,38,0.27046461823025464,0.0966405890473999,0.09203865623561897,0.13087867989582525,250,0,297096.0321972502,12.325506875000428
0,5,1,1.0,2173,0.012365,Hypersurface,38,0.214546220201374,0.20156465715600552,0.1960423377818684,0.2927137892097522,250,0,150033.94094235843,12.891461250008433
0,5,1,1.0,2173,0.012365,"L2,1-NMF",38,0.229815399188449,0.1780947998159227,0.1688909341923608,0.2851953091681868,250,0,9841.129535515865,10.040276125000673
0,5,1,1.0,2173,0.012365,L1-Reg Robust,38,0.2943293688493263,0.08651633686148182,0.0796134376438104,0.11368408600946238,250,0,6166.302194244373,13.608376125004725
0,10,1,1.0,2173,0.04949,F-norm MU,38,0.4507823765400598,0.10262310170271514,0.09710078232857801,0.15316389892996818,250,0,61103.00196773491,5.111344791002921
0,10,1,1.0,2173,0.04949,L1-NMF,38,0.2711327573526735,0.10170271514035895,0.09387942936033133,0.13852046209870084,250,0,402856.48376434203,11.255435333005153
0,10,1,1.0,2173,0.04949,Hypersurface,38,0.28263650041237004,0.16428900138057984,0.15968706856879888,0.23200158344886554,250,0,241739.96100102706,12.456576917000348
0,10,1,1.0,2173,0.04949,"L2,1-NMF",38,0.45073244171636084,0.11320754716981132,0.10998619420156466,0.1709616656367426,250,0,11321.033581050919,9.801702041993849
0,10,1,1.0,2173,0.04949,L1-Reg Robust,38,0.298410148294272,0.08145421076852279,0.07639208467556374,0.10658670903238314,250,0,8549.678579440613,13.628490875009447
0,15,1,1.0,2173,0.111419,F-norm MU,38,0.6704979077168055,0.09479981592268753,0.09111826967326277,0.12484723529625098,250,0,71579.09643391705,5.009911375003867
0,15,1,1.0,2173,0.111419,L1-NMF,38,0.35781308687631,0.09249884951679706,0.08743672342383801,0.1290147362779844,250,0,537540.0575046553,10.994238917002804
0,15,1,1.0,2173,0.111419,Hypersurface,38,0.635300975770139,0.09249884951679706,0.0878969167050161,0.12058881990358139,250,0,251496.5388626834,12.45070741699601
0,15,1,1.0,2173,0.111419,"L2,1-NMF",38,0.6681160937946661,0.09065807639208467,0.08513575701794754,0.10713622510776016,250,0,12341.40405439909,10.04527025000425
0,15,1,1.0,2173,0.111419,L1-Reg Robust,38,0.32055582130345717,0.08973768982972849,0.08559595029912563,0.11892531413289942,250,0,12353.76982704914,13.277197541989153
0,20,1,1.0,2173,0.197987,F-norm MU,38,0.9011939069006806,0.08283479061205706,0.07823285780027611,0.10527780537742032,250,0,77615.87483615067,4.774065541001619
0,20,1,1.0,2173,0.197987,L1-NMF,38,0.8421654597681503,0.08421537045559135,0.08145421076852279,0.11055066121500766,250,0,495387.0095675468,11.46153787500225
0,20,1,1.0,2173,0.197987,Hypersurface,38,0.8784390661535466,0.08145421076852279,0.07823285780027611,0.10490703628744932,250,0,283718.5674823495,12.395033166991198
0,20,1,1.0,2173,0.197987,"L2,1-NMF",38,0.9003162735703895,0.08743672342383801,0.08375517717441325,0.10564620448209618,250,0,12826.29482479833,9.742233042008593
0,20,1,1.0,2173,0.197987,L1-Reg Robust,38,0.534591738837674,0.09111826967326277,0.08697653014265992,0.12173914560162781,250,0,16531.1376078725,13.113633667002432
0,10,2,1.0,2173,0.095878,F-norm MU,38,0.6078136474339463,0.09479981592268753,0.09019788311090658,0.143923386010115,250,0,87938.76034974163,4.789352583000436
0,10,2,1.0,2173,0.095878,L1-NMF,38,0.27700354151658896,0.11136677404509894,0.10400368154624942,0.15395514568357307,250,0,536592.3328177299,11.190546541998629
0,10,2,1.0,2173,0.095878,Hypersurface,38,0.47978852123334714,0.11872986654394846,0.11182696732627703,0.1647986218206983,250,0,317351.0665523014,12.397010667002178
0,10,2,1.0,2173,0.095878,"L2,1-NMF",38,0.6060984148036426,0.10814542107685228,0.10170271514035895,0.15709887661605454,250,0,13627.092271041613,9.766875374989468
